glyph_id,fingerprint,n_cells,cells,occurrences,manual_occurrences,provisional_occurrences,recording_count,recordings,broadcast_count,broadcasts,cycles,phrase_clusters,phrase_roles,near_twins_d1,near_twins_d2,nearest_neighbour_distance,family_id,family_size,top_predecessors,top_successors,first_video,first_frame,first_time_s
16,001000001000000101000000011000100000000000100000000000000010010100000000000000010,12,"(0,2) (0,8) (1,6) (1,8) (2,7) (2,8) (3,3) (4,6) (6,4) (6,7) (7,0) (8,7)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,111,,1,16,2,15×5,17×5,E6C2-N,965,32.1551
17,000000000110000000000000000100001001000010000000100000100000000000000010000000000,9,"(1,0) (1,1) (3,0) (3,5) (3,8) (4,4) (5,3) (6,0) (7,7)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,8,17,1,16×5; 111×1,18×6,E6C2-N,971,32.3551
18,000000000000000100000000010000110000000001000000001001000000000100000000001000100,10,"(1,6) (2,7) (3,3) (3,4) (4,5) (5,5) (5,8) (7,0) (8,2) (8,6)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,10,18,1,17×6,19×6,E6C2-N,977,32.5551
19,001001000000000000000000010000000000000000000000000001100000000101000000000101000,9,"(0,2) (0,5) (2,7) (5,8) (6,0) (7,0) (7,2) (8,3) (8,5)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,8,19,1,18×6,20×6,E6C2-N,986,32.8551
20,000001000000000000000000000100000000000000000000011000010000010000000000000000000,6,"(0,5) (3,0) (5,4) (5,5) (6,1) (6,7)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,6,20,1,19×6,21×6,E6C2-N,989,32.9551
21,001000000110000000110000000000000000000100000100000000000000000100000010000000100,10,"(0,2) (1,0) (1,1) (2,0) (2,1) (4,3) (5,0) (7,0) (7,7) (8,6)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,10,21,1,20×6,22×6,E6C2-N,995,33.1551
22,000000000000000010000000000000010001000000000000100000110000000001000000000000100,8,"(1,7) (3,4) (3,8) (5,3) (6,0) (6,1) (7,2) (8,6)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,7,22,1,21×6,23×6,E6C2-N,1001,33.3551
23,000000000001000001000000010000100001001001000000000000000000001001000000000000000,9,"(1,2) (1,8) (2,7) (3,3) (3,8) (4,2) (4,5) (6,8) (7,2)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,7,23,1,22×6,24×6,E6C2-N,1007,33.5551
24,000000000000000001000000000000100000000000000000000000000000000000000010000000001,4,"(1,8) (3,3) (7,7) (8,8)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,6,24,1,23×6,25×6,E6C2-N,1013,33.7551
25,001000000000000000100000010000010000000011000000000001000000001001000000001100100,12,"(0,2) (2,0) (2,7) (3,4) (4,4) (4,5) (5,8) (6,8) (7,2) (8,2) (8,3) (8,6)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,10,25,1,24×6,26×6,E6C2-N,1019,33.9551
26,000000011000000000000000000000000000001100000000000000000000010101000001000000000,8,"(0,7) (0,8) (4,2) (4,3) (6,7) (7,0) (7,2) (7,8)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,6,26,1,25×6,27×6,E6C2-N,1026,34.1884
27,101000000100000000010000000000000000000100100000000000110010010010000000001000000,12,"(0,0) (0,2) (1,0) (2,1) (4,3) (4,6) (6,0) (6,1) (6,4) (6,7) (7,1) (8,2)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,,,,,9,27,1,26×6,28×6,E6C2-N,1031,34.3551
28,000000000000000100000000001100100000000000000000000000100000001000000000010000000,7,"(1,6) (2,8) (3,0) (3,3) (6,0) (6,8) (8,1)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,J,Main track (4 broadcasts) — fixed segment,,,7,28,1,27×6,29×6,E6C2-N,1037,34.5551
29,010000100100000000000000000000000000001000000000000000000010000001000000000000000,6,"(0,1) (0,6) (1,0) (4,2) (6,4) (7,2)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,,,,,6,29,1,28×6,30×5,E6C2-N,1043,34.7551
30,000001000000000100010000000000100000000100000000000000000000000001000000001001010,9,"(0,5) (1,6) (2,1) (3,3) (4,3) (7,2) (8,2) (8,5) (8,7)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-9,E6C2; E6C3,J,Main track (4 broadcasts) — fixed segment,,,6,30,1,29×5,31×4,E6C2-N,1049,34.9551
31,000000000000000000000000010000011001000000000000000000000000000000000001001000000,6,"(2,7) (3,4) (3,5) (3,8) (7,8) (8,2)",4,4,0,4,E6C2-11; E6C2-N; E6C3-1L; E6C3-9,4,E6C2-11; E6C2-N; E6C3-1L; E6C3-9,E6C2; E6C3,L,Main track (3 broadcasts) — fixed segment,,,6,31,1,30×4,32×4,E6C2-N,1055,35.1551
32,100000000001000000000000010000000000000001000000010000010000000001000100011000101,12,"(0,0) (1,2) (2,7) (4,5) (5,4) (6,1) (7,2) (7,6) (8,1) (8,2) (8,6) (8,8)",4,4,0,4,E6C2-11; E6C2-N; E6C3-1L; E6C3-9,4,E6C2-11; E6C2-N; E6C3-1L; E6C3-9,E6C2; E6C3,L,Main track (3 broadcasts) — fixed segment,,,11,32,1,31×4,33×4,E6C2-N,1061,35.3551
33,001001010010000100010000001000100001000000000000010000000000000101000000001000000,13,"(0,2) (0,5) (0,7) (1,1) (1,6) (2,1) (2,8) (3,3) (3,8) (5,4) (7,0) (7,2) (8,2)",4,4,0,4,E6C2-11; E6C2-N; E6C3-1L; E6C3-9,4,E6C2-11; E6C2-N; E6C3-1L; E6C3-9,E6C2; E6C3,,,,,10,33,1,32×4,34×3,E6C2-N,1067,35.5551
34,000000000100000110000010001000010000001100000000001000000000000010000000001000110,13,"(1,0) (1,6) (1,7) (2,4) (2,8) (3,4) (4,2) (4,3) (5,5) (7,1) (8,2) (8,6) (8,7)",3,3,0,3,E6C2-N; E6C3-1L; E6C3-9,3,E6C2-N; E6C3-1L; E6C3-9,E6C2; E6C3,,,,,11,34,1,33×3,35×3,E6C2-N,1073,35.7551
35,010000000010000010010010010000011000000000100000000000010000000000000000000000000,10,"(0,1) (1,1) (1,7) (2,1) (2,4) (2,7) (3,4) (3,5) (4,6) (6,1)",3,3,0,3,E6C2-N; E6C3-1L; E6C3-9,3,E6C2-N; E6C3-1L; E6C3-9,E6C2; E6C3,,,,,9,35,1,34×3,36×3,E6C2-N,1079,35.9551
36,010000010100000100000000000000000000000000000000001000000010001100000000000000100,9,"(0,1) (0,7) (1,0) (1,6) (5,5) (6,4) (6,8) (7,0) (8,6)",3,3,0,3,E6C2-N; E6C3-1L; E6C3-9,3,E6C2-N; E6C3-1L; E6C3-9,E6C2; E6C3,,,,,9,36,1,35×3,,E6C2-N,1085,36.1551
37,000000000000000000010000010000000000000100000100101000010000000011000000000000000,9,"(2,1) (2,7) (4,3) (5,0) (5,3) (5,5) (6,1) (7,1) (7,2)",1,1,0,1,E6C2-11,1,E6C2-11,E6C2,D,Side track core (12 broadcasts) — most-replayed payload,,3,2,3,2,2×1,4×1,E6C2-11,626,20.8586
38,000000000000000000000000000000001000000010000000100001000000010001000000000000000,6,"(3,5) (4,4) (5,3) (5,8) (6,7) (7,2)",18,12,6,18,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,16,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,G,Side track core (10 broadcasts) — most-replayed payload,,,6,37,1,112×17,39×16; 41×1; 130×1,E6C2-1K,226,7.5364
39,000101000001000000010000000100000000000000100100000000000000000000000001000000001,9,"(0,3) (0,5) (1,2) (2,1) (3,0) (4,6) (5,0) (7,8) (8,8)",16,10,6,16,E6C2-1K; E6C4-16; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,14,E6C2-1K; E6C4-16; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,G,Side track core (10 broadcasts) — most-replayed payload,,130,2,38,2,38×16,40×12; 131×4,E6C2-1K,227,7.5697
40,100000000000000001000000000000000000000001000100000000000000000010000000000001011,8,"(0,0) (1,8) (4,5) (5,0) (7,1) (8,5) (8,7) (8,8)",12,10,2,12,E6C2-1K; E6C4-16; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-N; E6C6-1R,11,E6C2-1K; E6C4-16; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-N; E6C6-1R,E6C2; E6C4; E6C5; E6C6,,,131,,1,39,2,39×12,41×12,E6C2-1K,238,7.9364
41,000101000010000010010000001000000000001010000100000000000000000000000010000100001,12,"(0,3) (0,5) (1,1) (1,7) (2,1) (2,8) (4,2) (4,4) (5,0) (7,7) (8,3) (8,8)",17,11,6,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,15,E6C2-1K; E6C4-13; E6C4-16; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,D,Side track core (12 broadcasts) — most-replayed payload,,,3,40,1,40×12; 131×4; 38×1,42×17,E6C2-1K,244,8.1364
42,000000000101000010000000000100010000000000000000000001100000000000000000000100010,9,"(1,0) (1,2) (1,7) (3,0) (3,4) (5,8) (6,0) (8,3) (8,7)",19,12,7,19,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,D,Side track core (12 broadcasts) — most-replayed payload,,,6,41,1,41×17; 132×1,43×19,E6C2-1K,250,8.3363
43,100101000000000001100000011000100000001100000000010000000000011000000010000000011,16,"(0,0) (0,3) (0,5) (1,8) (2,0) (2,7) (2,8) (3,3) (4,2) (4,3) (5,4) (6,7) (6,8) (7,7) (8,7) (8,8)",19,12,7,19,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,D,Side track core (12 broadcasts) — most-replayed payload,,,12,42,1,42×19,44×19,E6C2-1K,251,8.3697
44,010001000110000000000000000000000000000000000000011000000000000010000000000000010,8,"(0,1) (0,5) (1,0) (1,1) (5,4) (5,5) (7,1) (8,7)",19,12,7,19,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,D,Side track core (12 broadcasts) — most-replayed payload,,,8,43,1,43×19,45×19,E6C2-1K,262,8.7363
45,010000000000000100010000000100011001001001000000100000000000001000000000001000011,14,"(0,1) (1,6) (2,1) (3,0) (3,4) (3,5) (3,8) (4,2) (4,5) (5,3) (6,8) (8,2) (8,7) (8,8)",19,12,7,19,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,D,Side track core (12 broadcasts) — most-replayed payload,,,12,44,1,44×19,46×19,E6C2-1K,264,8.803
46,000000101100000110000000000000000000000100000000100001000000011000000000000000010,11,"(0,6) (0,8) (1,0) (1,6) (1,7) (4,3) (5,3) (5,8) (6,7) (6,8) (8,7)",19,12,7,19,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,D,Side track core (12 broadcasts) — most-replayed payload,,,10,45,1,45×19,47×19,E6C2-1K,270,9.003
47,000001000011000010000000010100000000001100000000000000000010000000000001000000001,11,"(0,5) (1,1) (1,2) (1,7) (2,7) (3,0) (4,2) (4,3) (6,4) (7,8) (8,8)",19,12,7,19,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,D,Side track core (12 broadcasts) — most-replayed payload,,,9,46,1,46×19,48×19,E6C2-1K,275,9.1696
48,011000000000000000000010000000101000001010000000000000000000001010000000000000000,9,"(0,1) (0,2) (2,4) (3,3) (3,5) (4,2) (4,4) (6,8) (7,1)",19,12,7,19,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,D,Side track core (12 broadcasts) — most-replayed payload,,,9,47,1,47×19,49×19,E6C2-1K,281,9.3696
49,001000000000000000100000011000101000000000000000000000100000000100000101000100000,11,"(0,2) (2,0) (2,7) (2,8) (3,3) (3,5) (6,0) (7,0) (7,6) (7,8) (8,3)",19,12,7,19,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,D,Side track core (12 broadcasts) — most-replayed payload,,,10,48,1,48×19,50×19,E6C2-1K,287,9.5696
